Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  512  28  28] [128  512  1  1] [1  128  28  28] [1  1] [0  0] 8 0 , 50176_128_256, 153015.0, 182138880.0, 2408448.0, 0.0, 2408448.0, 1605632.0, 802816.0, 12945408.0, 261316608.0, 531263488.0, 384126080.0, 522496.0, 2408448.0, 2930944.0, 28605924, 8570688, 153015.0, 240844800.0, 65754624.0, 57211848, 8570688, 153015.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 4 0 , 50176_512_32, 250349.0, 354788352.0, 4014080.0, 0.0, 3688960.0, 477696.0, 3211264.0, 13246464.0, 545513472.0, 775118848.0, 401599936.0, 901120.0, 3688960.0, 4915200.0, 36772462, 17461248, 250349.0, 368896000.0, 103270400.0, 73544924, 17461248, 250349.0, 
[1  512  28  28] [128  512  1  1] [1  128  28  28] [1  1] [0  0] 8 0 , 50176_128_256, 153015.0, 182138880.0, 2408448.0, 0.0, 2408448.0, 1605632.0, 802816.0, 12945408.0, 261316608.0, 531263488.0, 384126080.0, 522496.0, 2408448.0, 2930944.0, 28605924, 8570688, 153015.0, 240844800.0, 65754624.0, 57211848, 8570688, 153015.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 8 0 , 50176_128_576, 291314.0, 332165120.0, 4415488.0, 0.0, 4415488.0, 3612672.0, 802816.0, 29001728.0, 462522368.0, 1086711808.0, 789865728.0, 1024896.0, 4415488.0, 5440384.0, 58643048, 15360128, 291314.0, 441548800.0, 120952064.0, 117286096, 15360128, 291314.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 4 0 , 50176_512_32, 250349.0, 354788352.0, 4014080.0, 0.0, 3688960.0, 477696.0, 3211264.0, 13246464.0, 545513472.0, 775118848.0, 401599936.0, 901120.0, 3688960.0, 4915200.0, 36772462, 17461248, 250349.0, 368896000.0, 103270400.0, 73544924, 17461248, 250349.0, 
[1  512  28  28] [128  512  1  1] [1  128  28  28] [1  1] [0  0] 8 0 , 50176_128_256, 153015.0, 182138880.0, 2408448.0, 0.0, 2408448.0, 1605632.0, 802816.0, 12945408.0, 261316608.0, 531263488.0, 384126080.0, 522496.0, 2408448.0, 2930944.0, 28605924, 8570688, 153015.0, 240844800.0, 65754624.0, 57211848, 8570688, 153015.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 4 0 , 50176_512_32, 250349.0, 354788352.0, 4014080.0, 0.0, 3688960.0, 477696.0, 3211264.0, 13246464.0, 545513472.0, 775118848.0, 401599936.0, 901120.0, 3688960.0, 4915200.0, 36772462, 17461248, 250349.0, 368896000.0, 103270400.0, 73544924, 17461248, 250349.0, 
[1  512  28  28] [256  512  1  1] [1  256  28  28] [1  1] [0  0] 8 0 , 50176_256_256, 295906.0, 364277760.0, 4816896.0, 0.0, 4816896.0, 3211264.0, 1605632.0, 25890816.0, 522633216.0, 1062526976.0, 768424992.0, 1054976.0, 4816896.0, 5871872.0, 57217249, 17141376, 295906.0, 481689600.0, 131569152.0, 114434498, 17141376, 295906.0, 
